name,source_tier,rank,symbol,timeframe_label,direction,category,sharpe,profit_factor,win_rate,trades,max_dd,oos_sharpe,sl,tp,entry_pseudo,exit_pseudo,likely_test_artifact
Momentum-Burst,LEGEND,LEGEND,USDJPY,M1,BOTH,TREND,-0.124350704,0.4688522,0.2743222,1106006,0.011596739,0.0,0.15,0.45,(CLOSE > EMA-9 AND RSI-7 > 70),RSI-7 crosses below 60,False
Perfect-Order-SMA,LEGEND,LEGEND,USDJPY,M30,BOTH,TREND,0.33264223,1.1495404,0.37211448,5415,0.0020784365,0.0,0.3,0.9,(SMA-20 > SMA-50 AND SMA-50 > SMA-100),SMA-20 crosses below SMA-50,False
Pullback-Breakout,LEGEND,LEGEND,USDJPY,H1,BOTH,TREND,0.2295816,1.0842273,0.422837,7374,0.002790469,0.0,0.3,0.6,(CLOSE crosses above EMA-20 AND RSI-14 > 50),CLOSE crosses below EMA-20,False
Puria-Method-Proxy,LEGEND,LEGEND,USDJPY,H4,BOTH,TREND,0.035554443,1.0164715,0.4278089,3747,0.0018037969,0.0,0.3,0.5,(EMA-5 crosses above SMA-75 AND MACD-LINE > 0),EMA-5 crosses below SMA-75,False
RSI-2-Period-Connors,LEGEND,LEGEND,USDJPY,M1,BOTH,TREND,-5.4739294,0.5642512,0.4358809,483795,0.455274,0.0,0.4,0.8,(CLOSE > SMA-200 AND RSI-2 < 10),RSI-2 > 90,False
RSI-Bull-Zone,LEGEND,LEGEND,USDJPY,H4,BOTH,TREND,0.08391311,1.0536782,0.42720193,1669,0.0019235371,0.0,0.3,0.6,(RSI-14 > 60 AND CLOSE > SMA-50),RSI-14 crosses below 50,False
RSI-Fast-Break,LEGEND,LEGEND,USDJPY,M1,BOTH,TREND,-5.587338,0.5693663,0.44014958,508877,0.48959,0.0,0.15,0.3,RSI-5 crosses above 70,RSI-5 crosses below 30,False
RSI-Momentum-Break,LEGEND,LEGEND,USDJPY,H4,BOTH,TREND,-0.062959366,0.97098535,0.4540311,3535,0.004482931,0.0,0.2,0.4,RSI-14 crosses above 50,RSI-14 crosses below 50,False
RSI-Overbought-Reversal,LEGEND,LEGEND,USDJPY,H4,BOTH,TREND,0.047801215,1.0232484,0.49789664,3328,0.0033130245,0.0,0.3,0.5,RSI-14 crosses below 70,RSI-14 < 30,False
RSI-Oversold-Reversal,LEGEND,LEGEND,USDJPY,H4,BOTH,TREND,0.047801215,1.0232484,0.49789664,3328,0.0033130245,0.0,0.3,0.5,RSI-14 crosses above 30,RSI-14 > 70,False
