timestamp,strategy,median_sharpe,paths,pass_rate,outcome
3979768612,Bred-Bred--858-Gen194,2.0009,45,0.8000,PASS
3979768640,Bred-Legen-244-Gen2,1.8645,45,0.7333,PASS
3979768669,Bred-Legen-8-Gen181,0.8595,45,0.6667,PASS
3979768699,Bred-Legen-648-Gen196,0.7814,45,0.6444,PASS
3979768729,Bred-Bred--419-Gen305,1.3574,45,0.7556,PASS
3979768756,Bred-Legen-391-Gen2,1.4227,45,0.6889,PASS
3979769048,MANUAL-PKG-TEST-2,0.0000,0,0.0000,FAIL
3979769049,MANUAL-PKG-TEST-2,0.0000,0,0.0000,FAIL
3979769049,MANUAL-PKG-TEST-2,0.0000,0,0.0000,FAIL
3979769049,MANUAL-PKG-TEST-2,0.0000,0,0.0000,FAIL
3979769770,AAA,0.0000,0,0.0000,FAIL
3979769940,UT-CPCV-ERR,0.0000,0,0.0000,FAIL
3979769940,UT-CPCV-FAIL,0.1000,10,0.2000,FAIL
3979770182,Bred-Legen-996-Gen2,1.4052,45,0.7111,PASS
3979770219,Bred-Bred--848-Gen320,1.2276,45,0.6889,PASS
3979770312,AAA,0.0000,0,0.0000,FAIL
3979770541,UT-CPCV-ERR,0.0000,0,0.0000,FAIL
3979770541,UT-CPCV-FAIL,0.1000,10,0.2000,FAIL
3979770575,AAA,0.0000,0,0.0000,FAIL
3979770791,AAA,0.0000,0,0.0000,FAIL
